order_item_id,order_id,item_id,supplier_id,quantity,fulfilled_quantity,fulfilled_date,customer_id,order_date,order_status,item_status,name,category,unit_price,item_failure_rate,item_restock_weight,name_supplier,category_supplier,supplier_failure_rate,supplier_fulfillment_weight,avg_quantity_on_hand,avg_backlog,stockouts,fulfilled_binary
1,1,30,1,3,3,01/08/2025,110,01/08/2025,fulfilled,Fulfilled,Source,Clothing,15.78,0.13,3.45,Perez PLC,Clothing,0.32,0.25,23.56556557,115.5995996,0,1
2,1,12,7,3,3,01/08/2025,110,01/08/2025,fulfilled,Fulfilled,Reason,Food,14.88,0.17,4.63,Bennett Ltd,Food,0.02,1.27,21.82182182,114.8738739,6,1
3,2,42,3,1,1,01/08/2025,90,01/08/2025,fulfilled,Fulfilled,There,Medical,13.57,0.06,2.64,Miller-Torres,Medical,0.37,4.09,22.48048048,94.84084084,0,1
4,2,5,1,2,2,01/08/2025,90,01/08/2025,fulfilled,Fulfilled,Party,Clothing,42.32,0.31,5.18,Perez PLC,Clothing,0.32,0.25,25.07907908,149.6746747,1,1
5,3,37,5,4,4,01/08/2025,172,01/08/2025,fulfilled,Fulfilled,Style,Electronics,31.47,0.12,1.4,Walsh-Phillips,Electronics,0.22,0.28,13.36236236,113.951952,5,1
6,4,7,6,5,5,01/08/2025,177,01/08/2025,fulfilled,Fulfilled,Left,Clothing,49.33,0.43,5.21,Austin Inc,Clothing,0.12,3.08,19.86586587,143.1701702,5,1
7,4,45,5,5,5,01/08/2025,177,01/08/2025,fulfilled,Fulfilled,Paper,Electronics,16.19,0.1,2.75,Walsh-Phillips,Electronics,0.22,0.28,17.01001001,119.3033033,10,1
8,5,7,6,2,2,02/08/2025,108,01/08/2025,fulfilled,Fulfilled,Left,Clothing,49.33,0.43,5.21,Austin Inc,Clothing,0.12,3.08,19.86586587,143.1701702,5,1
9,5,28,7,2,2,01/08/2025,108,01/08/2025,fulfilled,Fulfilled,Officer,Food,46.33,0.3,2.98,Bennett Ltd,Food,0.02,1.27,20.32832833,117.3333333,1,1
10,5,24,6,5,5,01/08/2025,108,01/08/2025,fulfilled,Fulfilled,However,Clothing,24.56,0.23,5.73,Austin Inc,Clothing,0.12,3.08,24.06606607,100.4874875,1,1
11,5,41,7,4,4,01/08/2025,108,01/08/2025,fulfilled,Fulfilled,Ready,Food,30.93,0.13,2.89,Bennett Ltd,Food,0.02,1.27,20.73573574,108.8268268,1,1
12,6,45,10,4,4,01/08/2025,57,01/08/2025,fulfilled,Fulfilled,Paper,Electronics,16.19,0.1,2.75,Walker and Sons,Electronics,0.41,0.14,19.27027027,119.0800801,3,1
13,6,16,8,4,4,01/08/2025,57,01/08/2025,fulfilled,Fulfilled,Long,Medical,11.43,0.08,4.5,Carlson LLC,Medical,0.33,3.32,20.34234234,141.5995996,8,1
14,6,20,9,3,3,01/08/2025,57,01/08/2025,fulfilled,Fulfilled,Box,Hardware,40.64,0.22,0.47,Greene Ltd,Hardware,0.12,3.58,3.173173173,251.7877878,342,1
15,6,43,8,3,3,01/08/2025,57,01/08/2025,fulfilled,Fulfilled,Decision,Medical,23.5,0.43,0.42,Carlson LLC,Medical,0.33,3.32,5.418418418,217.1731732,249,1
16,7,13,10,3,3,01/08/2025,138,01/08/2025,fulfilled,Fulfilled,Serious,Electronics,15.31,0.03,1.96,Walker and Sons,Electronics,0.41,0.14,17.34434434,97.03003003,0,1
17,7,14,6,1,1,01/08/2025,138,01/08/2025,fulfilled,Fulfilled,Civil,Clothing,7.98,0.46,3.45,Austin Inc,Clothing,0.12,3.08,20.37237237,90.08608609,10,1
18,8,9,6,2,2,01/08/2025,4,01/08/2025,fulfilled,Fulfilled,Various,Clothing,20.99,0.34,4.24,Austin Inc,Clothing,0.12,3.08,23.08508509,98.34334334,2,1
19,8,18,8,1,1,01/08/2025,4,01/08/2025,fulfilled,Fulfilled,Of,Medical,21.29,0.5,0.92,Carlson LLC,Medical,0.33,3.32,6.78978979,218.4824825,80,1
20,8,3,1,5,5,01/08/2025,4,01/08/2025,fulfilled,Fulfilled,Throw,Clothing,32.17,0.41,4.41,Perez PLC,Clothing,0.32,0.25,24.98498498,134.042042,1,1
21,8,4,7,4,4,01/08/2025,4,01/08/2025,fulfilled,Fulfilled,Reality,Food,10.62,0.46,0.56,Bennett Ltd,Food,0.02,1.27,2.811811812,281.0590591,345,1
22,8,36,7,4,4,01/08/2025,4,01/08/2025,fulfilled,Fulfilled,Always,Food,25.32,0.13,0.48,Bennett Ltd,Food,0.02,1.27,5.623623624,154.1781782,216,1
23,9,31,10,4,4,01/08/2025,14,01/08/2025,fulfilled,Fulfilled,During,Electronics,8.85,0.25,0.51,Walker and Sons,Electronics,0.41,0.14,3.006006006,317.006006,369,1
24,9,8,3,5,5,01/08/2025,14,01/08/2025,fulfilled,Fulfilled,Occur,Medical,17.51,0.32,2.25,Miller-Torres,Medical,0.37,4.09,18.85585586,132.3273273,0,1
25,9,5,1,2,2,01/08/2025,14,01/08/2025,fulfilled,Fulfilled,Party,Clothing,42.32,0.31,5.18,Perez PLC,Clothing,0.32,0.25,25.07907908,149.6746747,1,1
26,10,36,7,5,5,01/08/2025,64,01/08/2025,fulfilled,Fulfilled,Always,Food,25.32,0.13,0.48,Bennett Ltd,Food,0.02,1.27,5.623623624,154.1781782,216,1
27,11,29,10,1,1,01/08/2025,1,01/08/2025,fulfilled,Fulfilled,Know,Electronics,46.81,0.44,5.01,Walker and Sons,Electronics,0.41,0.14,25.12412412,129.6886887,0,1
28,11,45,5,3,3,01/08/2025,1,01/08/2025,fulfilled,Fulfilled,Paper,Electronics,16.19,0.1,2.75,Walsh-Phillips,Electronics,0.22,0.28,17.01001001,119.3033033,10,1
29,11,39,10,4,4,01/08/2025,1,01/08/2025,fulfilled,Fulfilled,Own,Electronics,43.68,0.04,1.5,Walker and Sons,Electronics,0.41,0.14,10.68868869,115.7837838,40,1
30,11,31,5,2,2,01/08/2025,1,01/08/2025,fulfilled,Fulfilled,During,Electronics,8.85,0.25,0.51,Walsh-Phillips,Electronics,0.22,0.28,6.142142142,181.1401401,169,1
31,12,39,10,4,4,01/08/2025,43,01/08/2025,fulfilled,Fulfilled,Own,Electronics,43.68,0.04,1.5,Walker and Sons,Electronics,0.41,0.14,10.68868869,115.7837838,40,1
32,12,48,5,4,4,01/08/2025,43,01/08/2025,fulfilled,Fulfilled,Agent,Electronics,34.35,0.27,0.19,Walsh-Phillips,Electronics,0.22,0.28,0.367367367,722.5815816,843,1
33,12,37,10,4,4,01/08/2025,43,01/08/2025,fulfilled,Fulfilled,Style,Electronics,31.47,0.12,1.4,Walker and Sons,Electronics,0.41,0.14,13.28828829,115.2632633,11,1
34,13,39,5,2,2,01/08/2025,111,01/08/2025,fulfilled,Fulfilled,Own,Electronics,43.68,0.04,1.5,Walsh-Phillips,Electronics,0.22,0.28,9.927927928,115.3823824,39,1
35,13,17,2,3,3,01/08/2025,111,01/08/2025,fulfilled,Fulfilled,How,Food,16.82,0.3,5.4,"Moore, Bridges and Donaldson",Food,0.14,1.42,26.15915916,114.5605606,0,1
36,13,2,1,2,2,01/08/2025,111,01/08/2025,fulfilled,Fulfilled,Dog,Clothing,9.6,0.2,2.22,Perez PLC,Clothing,0.32,0.25,13.16316316,143.5375375,22,1
37,14,17,7,5,5,01/08/2025,23,01/08/2025,fulfilled,Fulfilled,How,Food,16.82,0.3,5.4,Bennett Ltd,Food,0.02,1.27,23.21021021,112.993994,1,1
38,14,21,3,5,5,01/08/2025,23,01/08/2025,fulfilled,Fulfilled,Hard,Medical,31.81,0.24,1.58,Miller-Torres,Medical,0.37,4.09,9.394394394,163.6266266,36,1
39,14,8,8,4,4,01/08/2025,23,01/08/2025,fulfilled,Fulfilled,Occur,Medical,17.51,0.32,2.25,Carlson LLC,Medical,0.33,3.32,17.35535536,115.9139139,1,1
40,15,49,5,3,3,01/08/2025,93,01/08/2025,fulfilled,Fulfilled,Court,Electronics,46.69,0.43,1.08,Walsh-Phillips,Electronics,0.22,0.28,13.5985986,143.8708709,15,1
41,15,32,2,3,3,01/08/2025,93,01/08/2025,fulfilled,Fulfilled,One,Food,39.46,0.07,2.9,"Moore, Bridges and Donaldson",Food,0.14,1.42,16.66966967,104.6556557,11,1
42,15,41,7,4,4,01/08/2025,93,01/08/2025,fulfilled,Fulfilled,Ready,Food,30.93,0.13,2.89,Bennett Ltd,Food,0.02,1.27,20.73573574,108.8268268,1,1
43,15,29,5,1,1,01/08/2025,93,01/08/2025,fulfilled,Fulfilled,Know,Electronics,46.81,0.44,5.01,Walsh-Phillips,Electronics,0.22,0.28,21.6046046,139.6786787,8,1
44,15,4,2,2,2,01/08/2025,93,01/08/2025,fulfilled,Fulfilled,Reality,Food,10.62,0.46,0.56,"Moore, Bridges and Donaldson",Food,0.14,1.42,5.365365365,165.4264264,184,1
45,16,42,8,3,3,02/08/2025,37,01/08/2025,fulfilled,Fulfilled,There,Medical,13.57,0.06,2.64,Carlson LLC,Medical,0.33,3.32,13.85785786,121.7127127,32,1
46,16,10,10,1,1,02/08/2025,37,01/08/2025,fulfilled,Fulfilled,Consider,Electronics,32.41,0.09,4.4,Walker and Sons,Electronics,0.41,0.14,23.06206206,137.3863864,0,1
